Día,Dispositivo,Grupo de anuncios,Campaña,Conversiones,Impr.,Coste,Interacciones,Clics
2025-02-13,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",35,"3,23",3,3
2025-02-13,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",16,"1,80",2,2
2025-02-13,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",7,"2,27",2,2
2025-02-13,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-13,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",16,"2,21",2,2
2025-02-13,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",105,"16,10",18,18
2025-02-13,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",72,"12,21",16,16
2025-02-13,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",62,"4,49",9,9
2025-02-13,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",48,"4,21",11,11
2025-02-13,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"1,00",44,"4,01",5,5
2025-02-13,Tablets,Matronatación,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-14,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",16,"0,73",1,1
2025-02-14,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",25,"0,00",0,0
2025-02-14,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",12,"0,00",0,0
2025-02-14,Equipos informáticos,Natación Adultos,Búsqueda | General,"1,00",4,"1,17",1,1
2025-02-14,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",10,"3,38",3,3
2025-02-14,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",122,"13,99",14,14
2025-02-14,Teléfonos móviles,Matronatación,Búsqueda | General,"0,00",180,"13,60",18,18
2025-02-14,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",133,"4,85",11,11
2025-02-14,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",192,"2,15",13,13
2025-02-14,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",69,"1,38",1,1
2025-02-14,Tablets,Clases de Natación,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-14,Tablets,Matronatación,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-14,Tablets,Natació- Infantil,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-15,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",12,"0,00",0,0
