Fecha,Dispositivo,Set anuncios,Conversiones,Impresiones,Coste,Interacciones,Clics,CTR
2025-02-11,tablet,Natación infantil,0.0,7,0.0,0,0,0.0
2025-02-11,tablet,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-12,ordenador,Clases natación,0.0,33,0.0,0,0,0.0
2025-02-12,ordenador,Matronatación,0.0,25,1.52e-10,1,1,0.04
2025-02-12,ordenador,Natación infantil,0.0,64,4.999999999999997e-12,1,1,0.02
2025-02-12,ordenador,Natación adultos,0.0,8,0.0,0,0,0.0
2025-02-12,ordenador,Natación embarazadas,0.0,11,0.0,0,0,0.0
2025-02-12,móbil,Clases natación,3.0000000000000005e-10,277,2.002e-09,25,25,0.09
2025-02-12,móbil,Matronatación,1e-10,196,1.942e-09,27,27,0.14
2025-02-12,móbil,Natación infantil,0.0,88,2.47e-10,5,5,0.06
2025-02-12,móbil,Natación adultos,1e-10,74,5.75e-10,11,11,0.15
2025-02-12,móbil,Natación embarazadas,0.0,101,5.48e-10,5,5,0.05
2025-02-12,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-12,tablet,Natación infantil,0.0,4,0.0,0,0,0.0
2025-02-13,ordenador,Clases natación,0.0,35,3.2299999999999997e-10,3,3,0.09
2025-02-13,ordenador,Matronatación,0.0,16,1.7999999999990001e-10,2,2,0.12
2025-02-13,ordenador,Natación infantil,0.0,7,2.2700000000000002e-10,2,2,0.29
2025-02-13,ordenador,Natación adultos,0.0,3,0.0,0,0,0.0
2025-02-13,ordenador,Natación embarazadas,0.0,16,2.209999999999e-10,2,2,0.12
2025-02-13,móbil,Clases natación,0.0,105,1.6100000000000004e-09,18,18,0.17
2025-02-13,móbil,Matronatación,1e-10,72,1.2209999999999998e-09,16,16,0.22
2025-02-13,móbil,Natación infantil,0.0,62,4.490000000000001e-10,9,9,0.15
2025-02-13,móbil,Natación adultos,0.0,48,4.2100000000000005e-10,11,11,0.23
