Campaign name,Day,Platform,Objective,Result type,Results,Reach,Impressions,Amount spent (EUR),Views,Clicks (all),CPC (all),CTR (all),Page engagement,Facebook follows or likes,Link clicks,Instagram profile visits,Website leads,Objective,Website purchases conversion value,Estimated ad recall lift (people)
matronatacion conversion,2025-04-17,facebook,OUTCOME_LEADS,,,1326,1519,4.03,3050,21,0.19190476,1.38248848,453,1,9,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,All,All,Website leads,11,9268,9846,27.18,20221,123,0.22097561,1.24923827,2423,1,80,18,11,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,facebook,All,,,3182,3450,8.20,7029,45,0.18222222,1.30434783,1109,1,21,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,facebook,OUTCOME_LEADS,,,3182,3450,8.20,7029,45,0.18222222,1.30434783,1109,1,21,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,instagram,All,Website leads,11,6246,6391,18.96,13187,78,0.24307692,1.22046628,1311,,59,18,11,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,instagram,OUTCOME_LEADS,Website leads,11,6246,6391,18.96,13187,78,0.24307692,1.22046628,1311,,59,18,11,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,audience_network,All,,,2,5,0.02,5,0,,0,3,,,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-20,audience_network,OUTCOME_LEADS,,,2,5,0.02,5,0,,0,3,,,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-19,All,All,Website leads,4,9142,9921,27.47,20250,134,0.205,1.3506703,2603,,82,28,4,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-19,instagram,All,Website leads,2,6532,6828,20.19,13957,83,0.24325301,1.21558289,1616,,57,28,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-19,instagram,OUTCOME_LEADS,Website leads,2,6532,6828,20.19,13957,83,0.24325301,1.21558289,1616,,57,28,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-19,facebook,All,Website leads,2,2904,3093,7.28,6293,51,0.1427451,1.64888458,987,,25,0,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-19,facebook,OUTCOME_LEADS,Website leads,2,2904,3093,7.28,6293,51,0.1427451,1.64888458,987,,25,0,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-18,All,All,Website leads,10,8760,9382,24.45,19157,108,0.22638889,1.15114048,2050,,73,28,10,OUTCOME_LEADS,,0
